"latitude","longitude","type","duration","temp","humidity"
-35.0845534899473,150.583138551611,"forest",33,34,47
-33.8567096784695,150.40086761675,"forest",40,24,78
-33.4844410120896,150.563574770617,"grassland",17,17,53
-34.6477428377354,150.014703022612,"grassland",6,23,48
-34.7507187672882,149.223726966762,"forest",53,24,88
-33.1643252100807,147.325297901119,"desert",36,40,2
-33.8231883951979,149.783819867772,"forest",42,36,77
-33.8440411952291,150.36991211502,"grassland",9,21,35
-33.3834300923329,151.080750614728,"grassland",18,20,39
-34.3463931897101,146.546821610636,"desert",48,35,7
-35.4617117675899,150.007174005625,"forest",33,27,51
-34.0940361631985,147.957035958181,"grassland",12,23,52
-34.5450782380928,150.728331135186,"forest",24,27,54
-32.7706639209987,149.140542073087,"grassland",15,27,37
-34.4927030559275,150.426590911279,"forest",22,30,81
-33.5144304413512,150.902058182085,"grassland",13,19,54
-34.021989515777,151.009310777662,"grassland",18,33,66
-34.01314094735,150.369770334544,"forest",37,28,86
-33.478538596852,150.49293643236,"grassland",23,22,76
-33.5424171127276,146.889244557975,"desert",44,26,12
-34.7876754949205,149.806770595862,"forest",36,33,74
-33.5567705374137,150.064235950665,"forest",34,31,78
-33.7510155361475,150.505879557149,"grassland",12,24,54
-33.8802810250201,147.371351586388,"desert",43,49,12
-32.749609075825,150.446087289202,"forest",18,29,90
-34.103288429729,150.957419860427,"grassland",19,27,74
-32.4753907608633,151.079964226793,"forest",31,27,97
-34.0317062086451,146.674081074891,"desert",38,39,9
-34.2677859192445,149.28622894855,"forest",41,26,82
-34.1769729788287,149.53599005495,"grassland",18,28,34
-33.6155713683343,147.630879399646,"desert",46,39,8
-32.7734153222045,149.074458235472,"grassland",15,23,29
-33.412929656415,151.131940026828,"grassland",14,22,50
-34.5561001202455,145.761549956169,"desert",34,38,5
-32.7795003035091,151.021222560223,"grassland",18,20,50
-32.6802030393606,147.588876519514,"desert",35,53,49
-33.3238003199289,150.840358470104,"grassland",18,21,36
-33.829858968062,149.874792825556,"grassland",14,25,38
-33.9289676092153,149.72081866176,"grassland",14,26,49
-34.0326012823802,151.058987932,"forest",30,24,42
-33.9165590317017,149.713596028888,"forest",47,26,82
-34.0772253406756,151.132722875371,"grassland",12,24,62
-33.8911840393558,150.148309635472,"grassland",9,24,38
-34.0758608882621,151.019528877902,"forest",23,29,72
-33.7360815328543,150.456847406106,"forest",33,31,74
-34.508789827703,150.589981512936,"forest",19,30,57
-34.3664397901844,150.308663816042,"forest",45,32,69
-34.6689332952059,150.461084108956,"forest",24,27,70
-33.1929598928648,150.93661884961,"grassland",19,20,48
-34.0062344382135,146.745026730387,"desert",35,43,0
-32.1607575146337,147.97910533227,"desert",38,49,30
-34.5408385982762,150.013344349534,"forest",42,27,89
-34.1702916652183,151.02977882007,"forest",22,36,72
-32.6891784475105,150.530467621016,"grassland",22,21,39
-33.5607561860373,146.982781277978,"desert",44,44,8
-33.2509141282969,147.061493334476,"desert",46,40,39
-33.8347876934087,151.29033029439,"grassland",20,19,55
-33.5976221407345,149.798425285335,"grassland",8,25,28
-33.8277558509388,148.385575781163,"grassland",15,27,56
-33.4986728215151,150.790752241224,"grassland",28,22,55
